address,postal_code,country,federal_district,region_type,region,area_type,area,city_type,city,settlement_type,settlement,kladr_id,fias_id,fias_level,capital_marker,okato,oktmo,tax_office,timezone,geo_lat,geo_lon,population,foundation_year
"Архангельская обл, г Мезень",164750,Россия,Северо-Западный,обл,Архангельская,р-н,Мезенский,город,Мезень,,,2901200100000,8a49f67f-6c48-4160-bd1d-ebc188a69269,4,1,11242501000,11642101001,2932,UTC+3,65.8398078,44.2532273,3599,1599
"Респ Башкортостан, г Давлеканово",453400,Россия,Приволжский,Респ,Башкортостан,р-н,Давлекановский,город,Давлеканово,,,205900100000,d820f602-8763-4f63-be89-10077a2f025b,4,1,80419000000,80622101,273,UTC+5,54.2226707,55.0312373,24040,1730
"Респ Башкортостан, г Учалы",453700,Россия,Приволжский,Респ,Башкортостан,р-н,Учалинский,город,Учалы,,,204600100000,7b2b052a-49df-4aff-a36f-fb82957da2ea,4,1,80455000000,80653101,256,UTC+5,54.3067375,59.4125461,37771,1799
"Респ Башкортостан, г Янаул",452800,Россия,Приволжский,Респ,Башкортостан,р-н,Янаульский,город,Янаул,,,205200100000,21de303b-205d-4d37-81c9-63d10246e1af,4,1,80460000000,80659101,264,UTC+5,56.2650146,54.929907,26988,1730
"Брянская обл, г Сельцо",241550,Россия,Центральный,обл,Брянская,,,город,Сельцо,,,3200000200000,485f4c4d-aced-4b94-b975-88e72b7dcb72,4,0,15425000000,15725000001,3245,UTC+3,53.3739884,34.1059172,17933,1870
"Брянская обл, г Сураж",243500,Россия,Центральный,обл,Брянская,р-н,Суражский,город,Сураж,,,3202500100000,565317d8-daf3-4df1-bf3d-6703b0d1500f,4,1,15254501000,15654101001,3253,UTC+3,53.0170888,32.3938878,11640,1699
"Владимирская обл, г Александров",601650,Россия,Центральный,обл,Владимирская,р-н,Александровский,город,Александров,,,3300200100000,59e55956-69a2-432f-b880-74cf8ec0b9fe,4,1,17205501000,17605101001,3339,UTC+3,56.391819,38.7111123,61544,1399
"Владимирская обл, г Ковров",601900,Россия,Центральный,обл,Владимирская,,,город,Ковров,,,3300000400000,0b4978e2-e64c-4db1-b84d-93cf34bdb04b,4,0,17425000000,17725000001,3332,UTC+3,56.3554349,41.3170576,145492,1199
"Владимирская обл, Собинский р-н, г Лакинск",601240,Россия,Центральный,обл,Владимирская,р-н,Собинский,город,Лакинск,,,3301400200000,67eb946d-db25-4ad2-9852-6436ed35b39e,4,0,17250503000,17650110001,3327,UTC+3,56.0180587,39.956551,15707,1499
"Владимирская обл, г Меленки",602101,Россия,Центральный,обл,Владимирская,р-н,Меленковский,город,Меленки,,,3301000100000,710f2d29-5c22-4d4d-be27-04713381c676,4,1,17242501000,17642101001,3334,UTC+3,55.3387515,41.6340046,15208,1799
